POI_NM,LC_LO,LC_LA
신라면세점 김포공항점,126.800898,37.5659195
투미JTO 면세점,126.424424,33.2412776
청주국제공항면세점 ,127.495924,36.7220934
롯데면세점 코엑스점,127.056794,37.5132508
피카디리면세점 ,126.99124,37.5710577
부산면세점 용두산점,129.032462,35.1010103
신라면세점 인천공항점제2여객터미널,126.434552,37.4676073
현대면세점 동대문점,127.008826,37.5690024
경복궁면세점 인천국제공항제1여객터미널입국장점,126.453365,37.4503314
롯데면세점 월드타워점,127.101585,37.5129226
중원면세점 ,127.494493,36.6665275
그랜드면세점 ,128.624896,35.858114
신세계면세점 인천공항1터미널점,126.452042,37.449735
롯데면세점 제주점,126.486456,33.4906826
부산면세점 부산항점,129.049128,35.1173998
신세계면세점 부산점,129.128296,35.1699275
신라면세점 제주공항점,126.492856,33.506664
세원면세점 ,126.979278,37.5585453
롯데면세점 김포공항점,126.800898,37.5659195
현대면세점 인천공항T2점,126.435201,37.4678361
신세계면세점 서울점,126.980613,37.5604453
롯데면세점 인천공항1터미널점,126.453239,37.4500419
동화면세점 ,126.97614,37.5695891
포라리스면세점 ,126.984095,37.5624933
롯데면세점 제주공항점,126.492676,33.5068332
신라면세점 제주점,126.487588,33.4863005
앙코르면세점 ,127.03108,37.2590184
현대면세점 무역센터점,127.059643,37.5085107
제주관광공사 성산포항면세점,126.93462,33.472899
SM면세점 서울점,126.984187,37.5718891
롯데면세점 본점,126.981763,37.5647234
호텔신라신제주면세점 ,127.0052,37.5557191
경복궁면세점 인천국제공항제2여객터미널입국장점,126.434519,37.4676473
에이원텍스프리 ,126.97822,37.5688419
신세계면세점 김해공항점,128.946685,35.1731491
롯데면세점 인천공항2터미널점,126.434552,37.4676073
JSM백화점 ,126.49222,33.4900563
현대면세점 인천공항T1점,126.449545,37.4480946
신라면세점 서울점,127.007766,37.5572252
JDC면세점 제주항1점,126.534895,33.5196215
울산진산면세점 ,129.384173,35.5067812
전남개발공사면세점 무안공항점,126.387739,34.9935941
신라면세점 인천공항점제1여객터미널,126.453239,37.4500419
JDC면세점 ,126.493001,33.5068418
신라아이파크면세점 ,126.964563,37.5288875
JDC면세점 제주항2점,126.543633,33.5261852
경복궁면세점 인천국제공항제1여객터미널출국장점,126.451737,37.450344
제주관광공사 중문면세점,126.424424,33.2412663
롯데면세점 부산점,129.056058,35.156962
88면세점 ,126.385515,33.2636422
시티면세점 인천공항제2터미널점,126.433523,37.4669803
